Diagnosis,Number,
9565,1,#N/A
36802,1,"36802 = ""36802: DEPRIVATION AMBLYOPIA"""
936,1,#N/A
33729,1,"33729 = ""33729: REFLEX SYMPATH DYSTR OTH SPEC SITE (Begin 1993)"""
80030,1,"80030 = ""80030: CL SKULL VLT FX/HEM NEC"""
38603,1,"38603 = ""38603: MENIERE DIS VESTIBULAR"""
38604,1,"38604 = ""38604: INACTIVE MENIERE-s DIS"""
85122,1,#N/A
36112,1,"36112 = ""36112: BULLOUS RETINOSCHISIS"""
36111,1,"36111 = ""36111: FLAT RETINOSCHISIS"""
36114,1,"36114 = ""36114: SECONDARY RETINAL CYSTS"""
59789,1,"59789 = ""59789: URETHRITIS NEC"""
7149,1,"7149  = ""7149 : INFLAMM POLYARTHROP NOS"""
7141,1,"7141  = ""7141 : FELTY-s SYNDROME"""
37645,1,"37645 = ""37645: ATROPHY OF ORBIT"""
8503,1,#N/A
30019,1,"30019 = ""30019: FACTITIOUS ILL NECNOS"""
2884,1,"2884  = ""2884 : HEMOPHAGOCYTIC SYNDROMES (Begin 2006)"""
7811,1,"07811 = ""07811: CONDYLOMA ACCUMINATUM (Begin 1993)"""
74910,1,"74910 = ""74910: CLEFT LIP NOS"""
73039,1,"73039 = ""73039: PERIOSTITIS-MULT"""
796,1,"0796  = ""0796 : RESPIR SYNCITIAL VIRUS (Begin 1996)"""
73037,1,"73037 = ""73037: PERIOSTITIS-ANKLE"""
5804,1,"5804  = ""5804 : AC RAPIDLY PROGR NEPHRIT"""
64793,1,"64793 = ""64793: INFECT NOS-ANTEPARTUM"""
76409,1,"76409 = ""76409: LT-FOR-DATES 2500+G (Begin 1988)"""
E9211,1,#N/A
37557,1,"37557 = ""37557: DACRYOLITH"""
V8302,1,#N/A
36342,1,"36342 = ""36342: DIFUS SEC ATROPH CHOROID"""
80149,1,"80149 = ""80149: CL SKULL BASE FX-CONCUSS"""
80145,1,"80145 = ""80145: CL SKL BASE FX-DEEP COMA"""
75160,1,"75160 = ""75160: BILIARY & LIVER ANOM NOS"""
2705,1,"2705  = ""2705 : DIS HISTIDINE METABOLISM"""
2701,1,"2701  = ""2701 : PHENYLKETONURIA - PKU"""
9170,1,#N/A
6259,1,"6259  = ""6259 : FEM GENITAL SYMPTOMS NOS"""
9719,1,#N/A
37432,1,"37432 = ""37432: MYOGENIC PTOSIS"""
V064,1,#N/A
V063,1,#N/A
V068,1,#N/A
5241,1,"5241  = ""5241 : JAW-CRANIAL BASE ANOMALY (Begin 1980"
7930,1,"7930  = ""7930 : ABN FINDING-SKULL & HEAD"""
3007,1,"3007  = ""3007 : HYPOCHONDRIASIS"""
7934,1,"7934  = ""7934 : ABN FINDINGS-GI TRACT"""
38015,1,"38015 = ""38015: CHR MYCOT OTITIS EXTERNA"""
1580,1,"01580 = ""01580: TB OF JOINT NEC-UNSPEC"""
7284,1,"7284  = ""7284 : LAXITY OF LIGAMENT"""
V4960,1,#N/A
V4961,1,#N/A
V4966,1,#N/A
7774,1,"7774  = ""7774 : TRANSITORY ILEUS OF NB"""
7771,1,"7771  = ""7771 : MECONIUM OBSTRUCTION"""
7778,1,"7778  = ""7778 : PERINAT GI SYS DIS NEC"""
44103,1,"44103 = ""44103: DISSECTING THORACOABD ANEURYSM (Begin 1994)"""
3919,1,"3919  = ""3919 : AC RHEUMAT HRT DIS NOS"""
9923,1,#N/A
9925,1,#N/A
6084,1,"6084  = ""6084 : MALE GEN INFLAM DIS NEC"""
43813,1,"43813 = ""43813: Late eff CV-dysarthria (Begin 2009)"""
V5481,1,#N/A
30015,1,"30015 = ""30015: DISSOCIATIVE REACT NOS"""
2552,1,"2552  = ""2552 : ADRENOGENITAL DISORDERS"""
30014,1,"30014 = ""30014: MULTIPLE PERSONALITY"""
V655,1,#N/A
94137,1,#N/A
94138,1,#N/A
29575,1,"29575 = ""29575: SCHIZOAFFECTIVE-REMISS"""
83410,1,#N/A
85103,1,#N/A
84509,1,#N/A
66331,1,"66331 = ""66331: CORD ENTANGLE NEC-DELIV"""
V8552,1,#N/A
18500,1,#N/A
34281,1,"34281 = ""34281: OTH SPEC HEMIPLEGIA- DOMINANT SIDE (Begin 1994)"""
80422,1,#N/A
80421,1,#N/A
37883,1,"37883 = ""37883: CONVERGENC INSUFFICIENCY"""
8076,1,#N/A
86610,1,#N/A
E8589,1,#N/A
E8585,1,#N/A
73013,1,"73013 = ""73013: CHR OSTEOMYELIT-FOREARM"""
73015,1,"73015 = ""73015: CHR OSTEOMYELIT-PELVIS"""
E9175,1,#N/A
5821,1,"05821 = ""05821: HUMAN HERPESVIR 6 ENCEPH (Begin 2007)"""
V182,1,#N/A
E9239,1,#N/A
65971,1,"65971 = ""65971: ABN FETL HRT DELIV (Begin 1998)"""
52301,1,"52301 = ""52301: AC GINGIVITIS"""
6271,1,"6271  = ""6271 : POSTMENOPAUSAL BLEEDING"""
6273,1,"6273  = ""6273 : ATROPHIC VAGINITIS"""
6278,1,"6278  = ""6278 : MENOPAUSAL DISORDER NEC"""
53210,1,"53210 = ""53210: AC DUODENAL ULCER W PERF"""
E8344,1,#N/A
E8349,1,#N/A
3450,1,"3450  = ""3450 : GEN NONCONVULS EPILEPSY (Begin 1980"
78836,1,"78836 = ""78836: NOCTURNAL ENURESIS (Begin 1992)"""
V048,1,#N/A
5229,1,"5229  = ""5229 : PULP/PERIAPICAL DIS NEC"""
E9433,1,#N/A
E9430,1,#N/A
38031,1,"38031 = ""38031: HEMATOMA AURICLE/PINNA"""
E9439,1,#N/A
E956,1,#N/A
V1269,1,#N/A
V4989,1,#N/A
1308,1,"1308  = ""1308 : MULTISYSTEM TOXOPLASMOS"""
V4983,1,#N/A
E9852,1,#N/A
7758,1,"7758  = ""7758 : TRANSIENT MET DIS NB NEC"""
7750,1,"7750  = ""7750 : INFANT DIABET MOTHER SYN"""
78961,1,"78961 = ""78961: ABDOM TENDER RUQ (Begin 1994)"""
78969,1,"78969 = ""78969: ABDOM TENDER NEC (Begin 1994)"""
4049,1,"4049  = ""4049 : HYPERT HRT/RENAL DIS NOS (Begin 1980"
3590,1,"3590  = ""3590 : CONG HERED MUSC DYSTRPHY"""
3596,1,"3596  = ""3596 : INFL MYOPATHY IN OTH DIS"""
4150,1,"4150  = ""4150 : ACUTE COR PULMONALE"""
V8535,1,#N/A
87271,1,#N/A
V674,1,#N/A
80401,1,#N/A
80400,1,#N/A
V679,1,#N/A
41070,1,"41070 = ""41070: SUBENDO INFARCT- UNSPEC (Begin 1989)"""
20088,1,"20088 = ""20088: MIXED LYMPHOSARC MULT"""
37064,1,"37064 = ""37064: CORNEAL GHOST VESSELS"""
37061,1,"37061 = ""37061: LOCAL VASCULARIZA CORNEA"""
7108,1,"7108  = ""7108 : DIFF CONNECT TIS DIS NEC"""
V689,1,#N/A
37604,1,"37604 = ""37604: ORBITAL TENONITIS"""
29981,1,"29981 = ""29981: CHILD PSYCHOS NEC-RESID"""
1464,1,"1464  = ""1464 : MAL NEO ANT EPIGLOTTIS"""
7218,1,"7218  = ""7218 : SPINAL DISORDERS NEC"""
4232,1,"4232  = ""4232 : CONSTRICTIV PERICARDITIS"""
44650,1,#N/A
36781,1,"36781 = ""36781: TRANSIENT REFRACT CHANGE"""
2299,1,"2299  = ""2299 : BENIGN NEOPLASM NOS"""
32371,1,"32371 = ""32371: TOXIC ENCPH & ENCEPHLOMY (Begin 2006)"""
74512,1,"74512 = ""74512: CORRECT TRANSPOS GRT VES"""
88122,1,#N/A
42400,1,#N/A
9139,1,#N/A
9138,1,#N/A
7704,1,"7704  = ""7704 : PRIMARY ATELECTASIS"""
60091,1,"60091 = ""60091: HYPERPLASIA OF PROSTATE- UNSPECIFIED- WITH UR (Begin 2003)"""
80090,1,"80090 = ""80090: OP SKL VLT FX/BR INJ NEC"""
80091,1,"80091 = ""80091: OPN SKUL VLT FX W/O COMA"""
3431,1,"3431  = ""3431 : CONGENITAL HEMIPLEGIA"""
71692,1,"71692 = ""71692: ARTHROPATHY NOS-UP/ARM"""
38050,1,"38050 = ""38050: ACQ STENOS EAR CANAL NOS"""
94400,1,#N/A
83209,1,#N/A
83204,1,#N/A
83203,1,#N/A
83201,1,#N/A
V7612,1,#N/A
29510,1,"29510 = ""29510: HEBEPHRENIA-UNSPEC"""
29043,1,"29043 = ""29043: ARTERIOSCLER DEPRESSIVE"""
82139,1,#N/A
7732,1,"7732  = ""7732 : NB HEMOLYT DIS-ISOIM NEC"""
3951,1,"3951  = ""3951 : RHEUMATIC AORTIC INSUFF"""
55091,1,"55091 = ""55091: RECUR UNILAT INGUIN HERN"""
6642,1,"06642 = ""06642: WEST NILE NEURO MAN NEC (Begin 2004)"""
94554,1,#N/A
341,1,"0341  = ""0341 : SCARLET FEVER"""
77439,1,"77439 = ""77439: DELAY CONJUGAT JAUND NEC"""
86329,1,#N/A
81111,1,#N/A
86321,1,#N/A
3609,1,"3609  = ""3609 : DISORDER OF GLOBE NOS"""
99939,1,#N/A
52519,1,"52519 = ""52519: OTHER LOSS OF TEETH (Begin 2001)"""
57490,1,"57490 = ""57490: CHOLELITH W/O OBS (Begin 1996)"""
57491,1,"57491 = ""57491: CHOLELITH W/ OBS (Begin 1996)"""
36240,1,"36240 = ""36240: RETINA LAYER SEPARAT NOS"""
42091,1,"42091 = ""42091: AC IDIOPATH PERICARDITIS"""
87212,1,#N/A
V1049,1,#N/A
64251,1,"64251 = ""64251: SEVERE PREECLAMP-DELIVER"""
85142,1,#N/A
41012,1,"41012 = ""41012: AMI ANTERIOR WALL;SUBSEQ (Begin 1989)"""
9671,1,#N/A
99790,1,#N/A
2822,1,"2822  = ""2822 : GLUTATHIONE DIS ANEMIA"""
1405,1,"01405 = ""01405: TB PERITONITIS-HISTO DX"""
4211,1,"4211  = ""4211 : AC ENDOCARDIT IN OTH DIS"""
3961,1,"3961  = ""3961 : MITRAL STENOS/AORT INSUF"""
V1541,1,#N/A
96561,1,#N/A
37242,1,"37242 = ""37242: PERIPH PROGESS PTERYGIUM"""
36915,1,"36915 = ""36915: ONE EYE-MOD/OTH-BLIND"""
9116,1,#N/A
65420,1,"65420 = ""65420: PREV C-SECT NOS-UNSPEC (Begin 1990)"""
81308,1,#N/A
81302,1,#N/A
6103,1,"6103  = ""6103 : FIBROSCLEROSIS OF BREAST"""
1700,1,"01700 = ""01700: TB SKIN/SUBCUTAN-UNSPEC"""
E8383,1,#N/A
37451,1,"37451 = ""37451: XANTHELASMA"""
37452,1,"37452 = ""37452: HYPERPIGMENTATION LID"""
37455,1,"37455 = ""37455: HYPOTRICHOSIS OF EYELID"""
71908,1,"71908 = ""71908: JOINT EFFUSION-JT NEC"""
71901,1,"71901 = ""71901: JOINT EFFUSION-SHLDER"""
71902,1,"71902 = ""71902: JOINT EFFUSION-UP/ARM"""
V558,1,#N/A
95205,1,#N/A
37907,1,"37907 = ""37907: POSTERIOR SCLERITIS"""
37902,1,"37902 = ""37902: NODULAR EPISCLERITIS"""
37903,1,"37903 = ""37903: ANTERIOR SCLERITIS"""
41480,1,#N/A
9038,1,#N/A
44502,1,"44502 = ""44502: ATHEROEMBOLISM- LOWER EXTREMITY (Begin 2002)"""
V6129,1,#N/A
29533,1,"29533 = ""29533: PARAN SCHIZO-SUBCHREXAC"""
6926,1,"6926  = ""6926 : DERMATITIS DUE TO PLANT"""
6920,1,"6920  = ""6920 : DETERGENT DERMATITIS"""
7716,1,"7716  = ""7716 : NEONATAL CONJUNCTIVITIS"""
8371,1,#N/A
28951,1,"28951 = ""28951: CHR CONGEST SPLENOMEGALY"""
E8405,1,#N/A
65631,1,"65631 = ""65631: FETAL DISTRESS-DELIVERED"""
7428,1,"7428  = ""7428 : NERVOUS SYSTEM ANOM NEC"""
369,1,"0369  = ""0369 : MENINGOCOCCAL INFECT NOS"""
3971,1,"3971  = ""3971 : RHEUM PULMON VALVE DIS"""
3979,1,"3979  = ""3979 : RHEUM ENDOCARDITIS NOS"""
3623,1,#N/A
36261,1,"36261 = ""36261: PAVING STONE DEGENERAT"""
4470,1,"4470  = ""4470 : ACQ ARTERIOVEN FISTULA"""
4475,1,"4475  = ""4475 : NECROSIS OF ARTERY"""
85303,1,#N/A
2462,1,"2462  = ""2462 : CYST OF THYROID"""
1021,1,"1021  = ""1021 : MULTIPLE PAPILLOMATA"""
9659,1,#N/A
E8381,1,#N/A
37022,1,"37022 = ""37022: MACULAR KERATITIS"""
E8240,1,#N/A
43853,1,"43853 = ""43853: OTH PARALYT SYND BIL (Begin 1998)"""
1640,1,"01640 = ""01640: TB EPIDIDYMIS-UNSPEC"""
24210,1,"24210 = ""24210: TOX UNINOD GOIT NO CRIS"""
E8659,1,#N/A
1428,1,"1428  = ""1428 : MAL NEO MAJ SALIVARY NEC"""
3360,1,"3360  = ""3360 : SYRINGOMYELIA"""
3362,1,"3362  = ""3362 : COMB DEG CORD IN OTH DIS"""
94855,1,#N/A
5551,1,"5551  = ""5551 : REG ENTERITIS- LG INTEST"""
5552,1,"5552  = ""5552 : REG ENTERIT SM/LG INTEST"""
5889,1,"05889 = ""05889: HUMAN HERPESVIRS INF NEC (Begin 2007)"""
E9294,1,#N/A
E9292,1,#N/A
9882,1,"09882 = ""09882: GONOCOCCAL MENINGITIS"""
2258,1,"2258  = ""2258 : BENIGN NEO NERV SYS NEC"""
2253,1,"2253  = ""2253 : BENIGN NEO SPINAL CORD"""
1723,1,"01723 = ""01723: TB PERIPH LYMPH-MICRO DX"""
36053,1,"36053 = ""36053: OLD MAGNET FB- LENS"""
36052,1,"36052 = ""36052: OLD MAGNET FB- IRIS"""
4808,1,"4808  = ""4808 : VIRAL PNEUMONIA NEC"""
9464,1,#N/A
57512,1,"57512 = ""57512: AC/CHR CHOLECYSTITIS (Begin 1996)"""
9462,1,#N/A
V570,1,#N/A
37581,1,"37581 = ""37581: LACRIM PASSAGE GRANULOMA"""
36031,1,"36031 = ""36031: PRIMARY HYPOTONY"""
87000,1,#N/A
E9451,1,#N/A
E9453,1,#N/A
94447,1,#N/A
71655,1,"71655 = ""71655: POLYARTHRITIS NOS-PELVIS"""
76389,1,"76389 = ""76389: OTH SPEC COMPL LABOR/DELIV (Begin 1998)"""
29550,1,"29550 = ""29550: LATENT SCHIZOPHREN-UNSP"""
E9821,1,#N/A
V5875,1,#N/A
6948,1,"6948  = ""6948 : BULLOUS DERMATOSES NEC"""
V5872,1,#N/A
9800,1,#N/A
40402,1,"40402 = ""40402: MAL HY HT/REN W REN FAIL (Begin 1989)"""
81404,1,#N/A
81409,1,#N/A
94204,1,#N/A
65841,1,"65841 = ""65841: AMNIOTIC INFECTION-DELIV"""
65651,1,"65651 = ""65651: POOR FETAL GROWTH-DELIV"""
36203,1,"36203 = ""36203: NONPROLF DB RETNOPH NOS (Begin 2005)"""
E8888,1,#N/A
82532,1,#N/A
82535,1,#N/A
6191,1,"6191  = ""6191 : DIGEST-GENIT FISTUL- FEM"""
7867,1,"7867  = ""7867 : ABNORMAL CHEST SOUNDS"""
85189,1,#N/A
85183,1,#N/A
4142,1,"4142  = ""4142 : CHR TOT OCCLUS COR ARTRY (Begin 2007)"""
37555,1,"37555 = ""37555: NEONATAL NASOLACRML OBST"""
E8260,1,#N/A
2861,1,"2861  = ""2861 : CONG FACTOR IX DISORDER"""
1438,1,"1438  = ""1438 : MALIG NEO GUM NEC"""
24230,1,"24230 = ""24230: TOX NOD GOITER NO CRISIS"""
3342,1,"3342  = ""3342 : PRIMARY CEREBELLAR DEGEN"""
3341,1,"3341  = ""3341 : HERED SPASTIC PARAPLEGIA"""
76719,1,"76719 = ""76719: OTHER INJURIES TO SCALP (Begin 2003)"""
59581,1,"59581 = ""59581: CYSTITIS CYSTICA"""
34202,1,"34202 = ""34202: FLACCID HEMIPLEG- NONDOMINANT SIDE (Begin 1994)"""
7071,1,"07071 = ""07071: HPT C W HEPATIC COMA NOS (Begin 2004)"""
E9100,1,#N/A
73720,1,"73720 = ""73720: LORDOSIS NOS"""
73729,1,"73729 = ""73729: LORDOSIS NEC"""
74711,1,"74711 = ""74711: INTERRUPT OF AORTIC ARCH"""
6144,1,"6144  = ""6144 : CHRONIC PARAMETRITIS"""
6149,1,"6149  = ""6149 : FEM PELV INFLAM DIS NOS"""
990,1,"0990  = ""0990 : CHANCROID"""
2053,1,"2053  = ""2053 : MYELOID SARCOMA (Begin 1980"
3200,1,"3200  = ""3200 : HEMOPHILUS MENINGITIS"""
2059,1,"2059  = ""2059 : MYELOID LEUKEMIA NOS (Begin 1980"
9401,1,#N/A
9400,1,#N/A
36542,1,"36542 = ""36542: GLAUCOMA W IRIS ANOMALY"""
9192,1,#N/A
7324,1,"7324  = ""7324 : JUV OSTEOCHONDROSIS LEG"""
29573,1,"29573 = ""29573: SCHIZOAFF-SUBCHREXACER"""
7063,1,"7063  = ""7063 : SEBORRHEA"""
30751,1,"30751 = ""30751: BULIMIA"""
76505,1,"76505 = ""76505: EXTREME IMMAT 1250-1499G (Begin 1988)"""
8621,1,#N/A
E8198,1,#N/A
E8196,1,#N/A
9987,1,#N/A
E8447,1,#N/A
86349,1,#N/A
86341,1,#N/A
86342,1,#N/A
86345,1,#N/A
56213,1,"56213 = ""56213: DVRTCLI COLON W HMRHG (Begin 1991)"""
E9313,1,#N/A
36223,1,"36223 = ""36223: RETINOPH PREMATR"
E8903,1,#N/A
80484,1,#N/A
2167,1,"2167  = ""2167 : BENIGN NEO SKIN LEG"""
V188,1,#N/A
2842,1,"2842  = ""2842 : MYELOPHTHISIS (Begin 2006)"""
2840,1,"2840  = ""2840 : CONGEN APLASTIC ANEMIA"""
V239,1,#N/A
V238,1,#N/A
E9556,1,#N/A
7053,1,"07053 = ""07053: VRL HPT W/O CM HEPAT E (Begin 1991)"""
7052,1,"07052 = ""07052: VRL HPT W/O CM DLT W/O B (Begin 1991)"""
29901,1,"29901 = ""29901: INFANTILE AUTISM-RESID"""
538,1,"0538  = ""0538 : H ZOSTER COMPLICATED NOS"""
47300,1,#N/A
66411,1,"66411 = ""66411: DEL W 2 DEG LACERAT-DEL"""
27703,1,"27703 = ""27703: CYSTIC FIBROSIS W GASTRO MANFSTATNS (Begin 2002)"""
27702,1,"27702 = ""27702: CYSTIC FIBROSIS W PULM MANFSTATNS (Begin 2002)"""
27709,1,"27709 = ""27709: CYSTIC FIBROSIS W OTHER MANFSTATNS (Begin 2002)"""
31100,1,#N/A
3819,1,"03819 = ""03819: OT STAPH SEPTICEMIA (Begin 1997)"""
6164,1,"6164  = ""6164 : ABSCESS OF VULVA NEC"""
64821,1,"64821 = ""64821: ANEMIA-DELIVERED"""
25639,1,"25639 = ""25639: OTHER OVARIAN FAILURE (Begin 2001)"""
463,1,"0463  = ""0463 : PROG MULTIFOC LEUKOENCEP"""
38990,1,#N/A
96501,1,#N/A
5281,1,"5281  = ""5281 : CANCRUM ORIS"""
5284,1,"5284  = ""5284 : ORAL SOFT TISSUE CYST"""
5287,1,"5287  = ""5287 : ORAL EPITHELIUM DIS NEC (End 2004)"""
36564,1,"36564 = ""36564: GLAUCOMA W TUMOR OR CYST"""
80015,1,"80015 = ""80015: CL SKUL VLT FX-DEEP COMA"""
80013,1,"80013 = ""80013: CL SKULL VLT FX-MOD COMA"""
9842,1,"09842 = ""09842: GONOCOCCAL ENDOPHTHALMIA"""
71612,1,"71612 = ""71612: TRAUM ARTHROPATHY-UP/ARM"""
20008,1,"20008 = ""20008: RETICULOSARCOMA MULT"""
71616,1,"71616 = ""71616: TRAUM ARTHROPATHY-L/LEG"""
71617,1,"71617 = ""71617: TRAUM ARTHROPATHY-ANKLE"""
37252,1,"37252 = ""37252: PSEUDOPTERYGIUM"""
7041,1,"07041 = ""07041: SPF VRL HPT CM HPT C (Begin 1991)"""
37961,1,"37961 = ""37961: INFLAM POSTPROC BLEB"""
37212,1,"37212 = ""37212: CHR FOLLIC CONJUNCTIVIT"""
37213,1,"37213 = ""37213: VERNAL CONJUNCTIVITIS"""
34431,1,"34431 = ""34431: MONOPLEGIA LEG AFFECT DOM SIDE (Begin 1994)"""
V5831,1,#N/A
2984,1,"2984  = ""2984 : PSYCHOGEN PARANOID PSYCH"""
76527,1,"76527 = ""76527: 33-34 COMPLETED WEEKS OF GESTATION (Begin 2002)"""
76524,1,"76524 = ""76524: 27-28 COMPLETED WEEKS OF GESTATION (Begin 2002)"""
76528,1,"76528 = ""76528: 35-36 COMPLETED WEEKS OF GESTATION (Begin 2002)"""
55012,1,"55012 = ""55012: BILAT ING HERNIA W OBST"""
28862,1,"28862 = ""28862: LEUKEMOID REACTION (Begin 2006)"""
28869,1,"28869 = ""28869: ELEVATED WBC COUNT NEC (Begin 2006)"""
81314,1,#N/A
V1030,1,#N/A
2243,1,"2243  = ""2243 : BENIGN NEO CONJUNCTIVA"""
80710,1,#N/A
80714,1,#N/A
7829,1,"7829  = ""7829 : INTEGUMENT TISS SYMP NEC"""
61801,1,"61801 = ""61801: CYSTOCELE"
E8220,1,#N/A
37512,1,"37512 = ""37512: LACRIMAL GLAND CYST NEC"""
37516,1,"37516 = ""37516: LACRIMAL GLAND DISLOCAT"""
E8229,1,#N/A
1835,1,"1835  = ""1835 : MAL NEO ROUND LIGAMENT"""
2154,1,"2154  = ""2154 : BEN NEO SOFT TIS THORAX"""
81001,1,#N/A
1954,1,"1954  = ""1954 : MALIGN NEOPL ARM"""
1951,1,"1951  = ""1951 : MALIGN NEOPL THORAX"""
1953,1,"1953  = ""1953 : MALIGN NEOPL PELVIS"""
5312,1,"05312 = ""05312: POSTHERPES TRIGEM NEURAL"""
5314,1,"05314 = ""05314: HERPES ZOSTER MYELITIS (Begin 2006)"""
36971,1,"36971 = ""36971: ONE EYE-SEVERE/OTH-UNKNW"""
V252,1,#N/A
E899,1,#N/A
7031,1,"07031 = ""07031: VRL HPT B W/O CM W DELTA (Begin 1991)"""
99604,1,#N/A
99602,1,#N/A
99609,1,#N/A
33821,1,"33821 = ""33821: CHRONC PAIN D/T TRAUMA (Begin 2006)"""
29653,1,"29653 = ""29653: BIPOL AFF/ DEPR-SEVERE"""
29654,1,"29654 = ""29654: BIPOL DEPR-SEV W PSYCH"""
3878,1,"3878  = ""3878 : OTOSCLEROSIS NEC"""
34600,1,"34600 = ""34600: CLASSICAL MIGR-NOT INTR (Begin 1992)"""
7567,1,"7567  = ""7567 : ABDOMINAL WALL ANOMALIES (End 1997)"""
7562,1,"7562  = ""7562 : CERVICAL RIB"""
35801,1,"35801 = ""35801: MYASTHENIA GRAVIS WITH (ACUTE) EXACERBATION (Begin 2003)"""
4161,1,"4161  = ""4161 : KYPHOSCOLIOTIC HEART DIS"""
V5781,1,#N/A
2233,1,"2233  = ""2233 : BENIGN NEOPLASM BLADDER"""
5935,1,"5935  = ""5935 : HYDROURETER"""
5930,1,"5930  = ""5930 : NEPHROPTOSIS"""
4570,1,"4570  = ""4570 : POSTMASTECT LYMPHEDEMA"""
4572,1,"4572  = ""4572 : LYMPHANGITIS"""
46450,1,"46450 = ""46450: SUPRAGLOTTIS NOS- W/O OBSTR (Begin 2001)"""
20600,1,"20600 = ""20600: ACT MONO LEUK W/O RMSION (Begin 1991)"""
80035,1,"80035 = ""80035: CL SKUL VLT FX-DEEP COMA"""
42979,1,"42979 = ""42979: OTHER SEQUELAE OF MI NEC (Begin 1989)"""
41404,1,"41404 = ""41404: ATHERO ART BYPAS GFT (Begin 1996)"""
53784,1,"53784 = ""53784: DIEULAFOY LESION OF STOMACH & DUOD (Begin 2002)"""
53782,1,"53782 = ""53782: ANGIO STM/DUDN (W/O HMRHG) (Begin 1990)"""
7369,1,"7369  = ""7369 : ACQ LIMB DEFORMITY NOS"""
9009,1,#N/A
9832,1,"09832 = ""09832: GC PROSTATITIS- CHRONIC"""
92309,1,#N/A
60782,1,"60782 = ""60782: VASCULAR DISORDER- PENIS"""
71897,1,"71897 = ""71897: JT DERANGEMENT NOS-ANKLE"""
V6544,1,#N/A
4377,1,"4377  = ""4377 : TRANSIENT GLOBAL AMNESIA (Begin 1992)"""
4375,1,"4375  = ""4375 : MOYAMOYA DISEASE"""
28263,1,"28263 = ""28263: SICKLE-CELL/HB-C DISEASE"""
38120,1,"38120 = ""38120: CHR MUCOID OM SIMP/NOS"""
E9681,1,#N/A
E9680,1,#N/A
E9683,1,#N/A
E9685,1,#N/A
E9687,1,#N/A
E9357,1,#N/A
8083,1,#N/A
V1012,1,#N/A
6398,1,"6398  = ""6398 : POSTABORTION COMPL NEC"""
2394,1,"2394  = ""2394 : BLADDER NEOPLASM NOS"""
2395,1,"2395  = ""2395 : OTHER GU NEOPLASM NOS"""
2726,1,"2726  = ""2726 : LIPODYSTROPHY"""
70583,1,"70583 = ""70583: HIDRADENITIS"""
37533,1,"37533 = ""37533: PHLEGMON DACRYOCYSTITIS"""
37531,1,"37531 = ""37531: ACUTE CANALICULITIS"""
36913,1,"36913 = ""36913: ONE EYE-SEV/OTH-NEAR TOT"""
36911,1,"36911 = ""36911: 1 EYE-SEV/OTH-BLIND NOS"""
53330,1,"53330 = ""53330: ACUTE PEPTIC ULCER NOS"""
7942,1,"7942  = ""7942 : ABN PULMONARY FUNC STUDY"""
V1652,1,#N/A
99593,1,#N/A
8418,1,#N/A
7584,1,"7584  = ""7584 : BALANCE AUTOSOM TRANSLOC"""
7581,1,"7581  = ""7581 : PATAU-s SYNDROME"""
7582,1,"7582  = ""7582 : EDWARD-s SYNDROME"""
86040,1,#N/A
28100,1,#N/A
3859,1,"3859  = ""3859 : DIS MID EAR/MASTOID NOS"""
55229,1,"55229 = ""55229: OBSTR VENTRAL HERNIA NEC"""
38482,1,"38482 = ""38482: ATROPHIC NONFLACCID TYMP"""
75689,1,"75689 = ""75689: SOFT TISSUE ANOMALY NEC"""
52412,1,"52412 = ""52412: JAW-CRAN ANOMALY-OTH JAW (Begin 1992)"""
4551,1,"4551  = ""4551 : INT THROMBOS HEMORRHOID"""
85244,1,#N/A
27901,1,"27901 = ""27901: SELECTIVE IGA IMMUNODEF"""
6072,1,"6072  = ""6072 : INFLAM DIS- PENIS NEC"""
V716,1,#N/A
V717,1,#N/A
V861,1,#N/A
20480,1,"20480 = ""20480: OTH LYM LEUK W/O RMSION (Begin 1991)"""
78210,1,#N/A
37702,1,"37702 = ""37702: PAPILLEDEMA W DECR PRESS"""
37256,1,"37256 = ""37256: CONJUNCTIVAL DEPOSITS"""
37255,1,"37255 = ""37255: CONJUNCTIVA PIGMENTATION"""
30151,1,"30151 = ""30151: CHR FACTITIOUS ILLNESS"""
30159,1,"30159 = ""30159: HISTRIONIC PERSON NEC"""
31289,1,"31289 = ""31289: OTHER CONDUCT DISORDER OCT94--"""
V1071,1,#N/A
87500,1,#N/A
740,1,"0740  = ""0740 : HERPANGINA"""
80062,1,"80062 = ""80062: OPN SKUL VLT FX-BRF COMA"""
E8918,1,#N/A
2119,1,"2119  = ""2119 : BEN NEO GI TRACT NEC/NOS"""
2110,1,"2110  = ""2110 : BENIGN NEO ESOPHAGUS"""
99820,1,#N/A
1916,1,"1916  = ""1916 : MAL NEO CEREBELLUM NOS"""
V7181,1,#N/A
20014,1,"20014 = ""20014: LYMPHOSARCOMA AXILLA"""
20015,1,"20015 = ""20015: LYMPHOSARCOMA INGUIN"""
83502,1,#N/A
80312,1,"80312 = ""80312: CL SKULL FX NEC-BRF COMA"""
36642,1,"36642 = ""36642: TETANIC CATARACT"""
99645,1,#N/A
99644,1,#N/A
72141,1,"72141 = ""72141: SPOND COMPR THOR SP CORD"""
1191,1,"01191 = ""01191: PULMONARY TB NOS-NO EXAM"""
8782,1,#N/A
1914,1,"1914  = ""1914 : MAL NEO OCCIPITAL LOBE"""
8439,1,#N/A
86120,1,#N/A
94222,1,#N/A
